2025-04-17 23:15:45,046 - WARNING - Failed to fetch statistics for match 3806790035, but will continue processing
2025-04-17 23:15:49,204 - WARNING - Failed to fetch statistics for match 3761607789, but will continue processing
2025-04-17 23:16:06,799 - WARNING - Failed to fetch statistics for match 2378216853, but will continue processing
2025-04-17 23:16:10,770 - WARNING - Failed to fetch statistics for match 2378216858, but will continue processing
2025-04-17 23:16:14,571 - WARNING - Failed to fetch statistics for match 2380797010, but will continue processing
2025-04-17 23:16:18,462 - WARNING - Failed to fetch statistics for match 2380797013, but will continue processing
2025-04-17 23:16:22,420 - WARNING - Failed to fetch statistics for match 2380797017, but will continue processing
2025-04-17 23:16:26,321 - WARNING - Failed to fetch statistics for match 2380797024, but will continue processing
2025-04-17 23:16:30,225 - WARNING - Failed to fetch statistics for match 2380797028, but will continue processing
2025-04-17 23:16:34,093 - WARNING - Failed to fetch statistics for match 2380797038, but will continue processing
2025-04-17 23:16:38,031 - WARNING - Failed to fetch statistics for match 2380797041, but will continue processing
2025-04-17 23:16:41,836 - WARNING - Failed to fetch statistics for match 2380797042, but will continue processing
2025-04-17 23:16:45,777 - WARNING - Failed to fetch statistics for match 2380797048, but will continue processing
2025-04-17 23:16:49,613 - WARNING - Failed to fetch statistics for match 2380797050, but will continue processing
2025-04-17 23:16:53,548 - WARNING - Failed to fetch statistics for match 2383377149, but will continue processing
2025-04-17 23:16:57,426 - WARNING - Failed to fetch statistics for match 2383377153, but will continue processing
2025-04-17 23:17:01,334 - WARNING - Failed to fetch statistics for match 2383377154, but will continue processing
2025-04-17 23:17:05,151 - WARNING - Failed to fetch statistics for match 2383377162, but will continue processing
2025-04-17 23:17:09,019 - WARNING - Failed to fetch statistics for match 2392407948, but will continue processing
2025-04-17 23:17:12,921 - WARNING - Failed to fetch statistics for match 2392407974, but will continue processing
2025-04-17 23:17:16,737 - WARNING - Failed to fetch statistics for match 2389827645, but will continue processing
2025-04-17 23:17:20,612 - WARNING - Failed to fetch statistics for match 2389827646, but will continue processing
2025-04-17 23:17:24,565 - WARNING - Failed to fetch statistics for match 2389827681, but will continue processing
2025-04-17 23:17:28,427 - WARNING - Failed to fetch statistics for match 2389827685, but will continue processing
2025-04-17 23:17:32,251 - WARNING - Failed to fetch statistics for match 2392407954, but will continue processing
2025-04-17 23:17:36,095 - WARNING - Failed to fetch statistics for match 2389827664, but will continue processing
2025-04-17 23:17:39,954 - WARNING - Failed to fetch statistics for match 2794949318, but will continue processing
2025-04-17 23:17:45,755 - WARNING - Failed to fetch statistics for match 2810432918, but will continue processing
2025-04-17 23:17:49,641 - WARNING - Failed to fetch statistics for match 2810432919, but will continue processing
2025-04-17 23:17:53,477 - WARNING - Failed to fetch statistics for match 2828497580, but will continue processing
2025-04-17 23:17:57,511 - WARNING - Failed to fetch statistics for match 3388569776, but will continue processing
2025-04-17 23:18:01,322 - WARNING - Failed to fetch statistics for match 3285318470, but will continue processing
2025-04-17 23:18:05,150 - WARNING - Failed to fetch statistics for match 3285318476, but will continue processing
2025-04-17 23:18:08,973 - WARNING - Failed to fetch statistics for match 3285318499, but will continue processing
2025-04-17 23:18:12,793 - WARNING - Failed to fetch statistics for match 3285318513, but will continue processing
2025-04-17 23:18:16,629 - WARNING - Failed to fetch statistics for match 3327908155, but will continue processing
2025-04-17 23:18:20,596 - WARNING - Failed to fetch statistics for match 3327908162, but will continue processing
2025-04-17 23:18:25,109 - WARNING - Failed to fetch statistics for match 3364046549, but will continue processing
2025-04-17 23:18:34,328 - WARNING - Failed to fetch statistics for match 3327908151, but will continue processing
2025-04-17 23:18:38,300 - WARNING - Failed to fetch statistics for match 3364046576, but will continue processing
2025-04-17 23:18:42,144 - WARNING - Failed to fetch statistics for match 3373081372, but will continue processing
2025-04-17 23:18:45,984 - WARNING - Failed to fetch statistics for match 3388569829, but will continue processing
2025-04-17 23:18:49,858 - WARNING - Failed to fetch statistics for match 3726754174, but will continue processing
2025-04-17 23:18:53,749 - WARNING - Failed to fetch statistics for match 3746117209, but will continue processing
2025-04-17 23:18:57,759 - WARNING - Failed to fetch statistics for match 3746117257, but will continue processing
2025-04-17 23:19:01,645 - WARNING - Failed to fetch statistics for match 3761607875, but will continue processing
2025-04-17 23:19:05,547 - WARNING - Failed to fetch statistics for match 3782262488, but will continue processing
2025-04-17 23:19:09,428 - WARNING - Failed to fetch statistics for match 3782262499, but will continue processing
2025-04-17 23:19:13,322 - WARNING - Failed to fetch statistics for match 3806790121, but will continue processing
